id,brand,car_model,type,desc,problem,datetime,status
486113,一汽马自达,睿翼,2011款 2.0 自动 精英版,一汽马自达睿翼仪表台开裂发粘厂家未回复,"H176,",2020-06-19,信息审核
486112,广汽三菱,欧蓝德,2016款 2.4L 四驱精英版 5座,广汽三菱欧蓝德座椅生锈行驶时方向跑偏,"G117,H79,",2020-06-19,厂家受理
486109,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型 贺岁版,众泰T700打方向沉重厂家无配件提供,"D156,D57,N318,",2020-06-19,处理反馈
486106,北京奔驰,奔驰C级,2015款 200 L 运动型,北京奔驰C级4S店更换发动机未变更登记信息,"J299,",2020-06-19,信息审核
486105,北汽昌河,昌河Q35,2016款 1.5L 自动 炫酷版,北汽昌河Q35仪表显示安全气囊故障灯亮,"H103,",2020-06-19,信息审核
486101,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯报警希望处理,"A34,",2020-06-19,处理反馈
486097,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机死机黑屏与宣传不符,"H155,M279,",2020-06-19,信息审核
486095,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700门把手损坏前轴承损坏右后胎压失灵,"G125,H203,H233,",2020-06-19,处理反馈
486092,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机烧机油希望尽快解决,"A63,",2020-06-19,信息审核
486089,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6 SOS灯常亮要求质保维修,"H170,",2020-06-19,处理反馈
486085,上汽斯柯达,昊锐,2012款 1.8TSI 自动 优雅版,斯柯达昊锐车内异味越来越严重影响健康,"H185,",2020-06-19,信息审核
486084,东风启辰,晨风,2014款 6.6KW 纯电动  领风版,启辰晨风动力电池衰减30%导致续航里程不足,"H343,",2020-06-19,信息审核
486083,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,领克01低速加速发动机异响 4S店无法解决,"A9,I295,",2020-06-19,处理反馈
486080,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际连接蓝牙通话无声音 导航不予升级,"H21,H155,L313,",2020-06-19,用户评分
486079,长安马自达,马自达3 昂克赛拉,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉中控屏脱胶开裂影响使用,"H134,",2020-06-19,处理反馈
486077,吉利汽车,远景,2018款 1.5L 自动 尊贵型,吉利远景经销商丢失钥匙和车辆合格证,"O353,O354,",2020-06-19,处理反馈
486071,上汽集团,名爵ZS,2017款 1.5L 手动 豪华版,上汽名爵ZS变速箱换挡顿挫 刹车片偏磨,"B19,E47,",2020-06-19,处理反馈
486068,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁日间行车灯灯带有一半不亮,"H82,",2020-06-19,处理反馈
486066,福特（进口）,探险者（进口）,2016款 2.3T 精英版,进口福特探险者刹车片脱落要求厂家解决,"E270,",2020-06-19,厂家受理
486065,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁发动机故障灯亮希望解决,"A34,",2020-06-19,处理反馈
486063,长安标致雪铁龙DS,DS5,2014款 1.6T 雅致版THP160,长安标致雪铁龙DS5冷车启动时发动机异响,"A9,",2020-06-19,信息审核
486062,吉利汽车,帝豪,2017款 1.5L 手动 向上版 三厢 百万款,吉利帝豪转向时存在异响要求厂家处理,"D59,",2020-06-19,处理反馈
486061,北京现代,朗动,2013款 1.6L 自动 尊贵型,北京现代朗动变速箱降挡顿挫一直未解决,"B19,I295,",2020-06-19,信息审核
486058,上汽集团,荣威RX5 MAX,2019款 400TGI 自动 智能座舱旗舰版,上汽荣威RX5 MAX怠速时发动机抖动,"A24,H211,",2020-06-19,处理反馈
486057,众泰汽车,众泰T600,2014款 1.5T 手动 精英型,众泰T600节气门漏气导致行驶中加速无力,"A251,",2020-06-19,处理反馈
486056,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,一汽大众奥迪Q3发动机高压油泵异响,"A9,",2020-06-19,信息审核
486051,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫水泵故障水温过高且无报警,"A191,A221,",2020-06-19,信息审核
486049,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘磨损脱皮存在质量问题,"H157,",2020-06-19,用户评分
486048,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机要求厂家更换硬件,"H155,M279,",2020-06-19,处理反馈
486047,江淮汽车,瑞风M3,2019款 宜家版 1.8L 豪华 智能型,江淮瑞风M3行驶时跑偏轮胎异常磨损,"G245,G117,I295,",2020-06-19,处理反馈
486044,吉利汽车,星越,2019款 350T 耀星者,吉利星越4S店销售人员故意隐瞒厂家增购补贴,"L313,",2020-06-19,用户评分
486040,长城汽车,哈弗H5,2016款 2.0T 四驱精英型 经典版,哈弗H5发动机怠速不稳 涡轮增压器漏油,"A163,A35,A189,",2020-06-19,用户评分
486039,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 时尚版,奇瑞艾瑞泽5空调漏氟 车载互联无网络,"H146,H155,",2020-06-19,处理反馈
486038,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞喷漆不匀且有生锈现象,"H79,H81,",2020-06-19,厂家受理
486037,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,"B33,",2020-06-19,处理反馈
486034,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,大众途观L行驶中提示变速箱进入紧急状态,"B96,B84,B77,",2020-06-19,信息审核
486031,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁座椅调节支撑锈蚀掉渣,"H79,",2020-06-19,处理反馈
486030,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无动力输出无法正常行驶,"B334,",2020-06-19,信息审核
486029,上汽大众,朗逸,2019款 朗逸启航 1.5L 手动 舒适版 国VI,上汽大众朗逸刹车异响4S店告知正常,"E43,",2020-06-19,信息审核
486027,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机异响 刹车踏板震动,"A9,D80,E111,",2020-06-19,处理反馈
486026,广汽丰田,凯美瑞,2009款 200G 自动 豪华版,广汽丰田凯美瑞中控仪表台腐蚀氧化掉皮,"H176,",2020-06-19,厂家受理
486022,上汽通用五菱,宝骏310W,2017款 1.5L 手动 舒适型 国V,宝骏310W车辆自燃要求尽快处理问题,"H40,",2020-06-19,处理反馈
486017,东风标致,标致4008,2017款 380THP 豪华GT版,东风标致4008承诺不兑现升级车机后音响无声,"H134,L314,",2020-06-19,处理反馈
486016,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5前雨刮器导水槽漏水存在质量问题,"H109,",2020-06-19,信息审核
486013,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫发动机运转时高压油泵异响,"A9,",2020-06-19,处理反馈
486009,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱阀体故障无法加速,"B334,B84,",2020-06-19,处理反馈
486008,一汽-大众,宝来,2019款 1.5L 自动 时尚型,一汽大众宝来大灯进水胎压误报自动驻车故障,"H88,H170,H203,",2020-06-19,处理反馈
486002,广汽本田,雅阁,2018款 260TURBO 旗舰版 国V,广汽本田雅阁胎压监测误报警 车身异响,"H15,H155,H203,",2020-06-19,处理反馈
486001,昌河铃木,北斗星X5,2015款 1.4L 巡航版,昌河铃木北斗星X5油表不准 转向时有异响,"D59,H93,H68,H202,H197,",2020-06-19,信息审核
485999,东南汽车,V3菱悦,2011款 1.5 手动 豪华版,东南V3菱悦汽车锈蚀严重影响安全,"H79,",2020-06-19,处理反馈
485995,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度发动机冷车启动异响要求解决,"A9,",2020-06-19,处理反馈
485994,一汽-大众,速腾,2013款 2.0TSI GLI,一汽大众速腾发动机和变速箱漏油,"A12,B22,",2020-06-19,处理反馈
485988,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内出现的质量问题不予索赔,"I297,",2020-06-19,处理反馈
485987,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9变速箱多次损坏要求退车,"B96,",2020-06-19,处理反馈
485980,奇瑞捷豹路虎,揽胜极光,2020款 249PS R-DYNAMIC SE 运动科技版,奇瑞捷豹路虎揽胜极光减震器中控台转向异响,"D59,G52,H93,",2020-06-19,用户评分
485979,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉中网镀铬装饰条腐蚀掉漆,"H81,H168,",2020-06-19,用户评分
485976,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏幕有开裂现象,"H134,",2020-06-19,处理反馈
485972,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机死机与厂家未回复处理,"H155,I294,M279,",2020-06-19,处理反馈
485970,北京奔驰,奔驰C级,2020款 C 260 运动版,北京奔驰C级无钥匙进入失灵希望厂家处理,"H119,",2020-06-19,信息审核
485968,奇瑞瑞麒,瑞麒G6,2011款 2.0T 自动 豪华型,瑞麒G6高速行驶时变速箱油管爆裂,"B22,G56,N318,",2020-06-19,用户评分
485966,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商违规收取续保押金,"K307,",2020-06-19,处理反馈
485965,北京现代,领动,2019款 1.5L CVT 智炫・精英型,北京现代领动减震器无配件承诺解决未兑现,"I294,L314,N318,N320,",2020-06-19,处理反馈
485959,广汽丰田,丰田C-HR,2020款 2.0L 领先版,广汽丰田C-HR未给发票导致无法上牌,"O353,",2020-06-19,厂家受理
485956,猎豹汽车,猎豹CS10,2017款 2.0T 手动 卓越型,猎豹CS10天窗异响不断 刹车疲软,"E269,H89,",2020-06-19,信息审核
485954,东风本田,本田XR-V,2015款 1.8L EXi CVT 舒适版,东风本田XR-V购车至今车内一直存在异味,"H164,",2020-06-19,处理反馈
485953,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂并且鼓包,"F100,F39,",2020-06-19,处理反馈
485951,吉利汽车,缤瑞,2018款 14T CVT 缤纷版,吉利缤瑞发动机转速过高厂家未解决问题,"A35,J301,",2020-06-19,处理反馈
485950,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L刹车抱死转向故障灯亮,"A34,D57,D291,E29,M284,",2020-06-19,信息审核
485947,吉利汽车,远景,2017款 1.5L 自动 幸福版,吉利远景行驶中动力消失存在质量问题,"B334,",2020-06-19,处理反馈
485946,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放发动机舱有泥浆车架生锈,"H79,Q322,",2020-06-19,信息审核
485945,东南汽车,东南DX7,2016款 1.5T 手动 凯旋版,东南DX7空调开冷风出热风车身异响,"H101,H15,",2020-06-19,处理反馈
485943,北京现代,领动,2016款 1.6L 自动 智炫・精英型,北京现代领动转向异响沉重卡滞希望处理,"D59,D123,D156,",2020-06-19,处理反馈
485942,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L天窗排水堵塞导致车内进水,"H90,",2020-06-19,信息审核
485940,北京现代,途胜,2018款 1.6T 双离合 两驱 15周年特别版,北京现代途胜行驶中发动机故障灯亮,"A34,",2020-06-19,处理反馈
485937,一汽-大众奥迪,奥迪A4L,2015款 2.0T CVT 标准型,一汽大众奥迪A4L节温器渗水售后不予质保,"A37,",2020-06-19,信息审核
485933,华晨中华,中华H330,2013款 1.5L 自动 豪华型,华晨中华H330左后轮轮毂破损希望尽快处理,"H243,",2020-06-19,信息审核
485931,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际前部摄像头有拆装痕迹4S店不处理,"H170,I295,L313,M279,O353,",2020-06-19,处理反馈
485930,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L变速箱异响 转向时车轮异响,"B33,G125,",2020-06-19,处理反馈
485929,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越天窗密封条多处老化破损天窗漏水,"H90,H48,",2020-06-19,处理反馈
485926,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后依然死机黑屏,"O348,",2020-06-19,处理反馈
485925,华晨宝马,宝马3系,2017款 330Li M 运动型,华晨宝马3系冷却液水管爆裂发动机温度高,"A37,A191,",2020-06-19,信息审核
485923,上汽大众,朗逸,2017款 230TSI 双离合 舒适版,上汽大众朗逸变速箱跳挡 发动机空转,"B27,",2020-06-19,用户评分
485922,上汽集团,荣威Ei5,2019款 智联旗舰版,上汽荣威Ei5充电慢且充电时自动断开,"H340,",2020-06-19,用户评分
485920,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3排气管共振异响严重无法解决,"H268,",2020-06-19,用户评分
485919,广汽丰田,YARiS L 致炫,2018款 1.5E CVT 冠军限量版,广汽丰田致炫空调风向调节开关故障,"H101,",2020-06-19,厂家受理
485918,吉利汽车,博瑞,2015款 1.8T 旗舰型,吉利博瑞影音系统出现黑屏厂家不给保修,"H134,I297,",2020-06-19,用户评分
485917,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾上坡辅助系统故障导致溜车,"H170,",2020-06-19,处理反馈
485916,广汽本田,冠道,2017款 240TURBO CVT 两驱 尊享版,广汽本田冠道4S店维修使用旧件要求解决,"N316,",2020-06-19,处理反馈
485909,一汽-大众,高尔夫・嘉旅,2016款 230TSI 手动 进取型,一汽大众高尔夫嘉旅天窗漏水希望厂家解决,"H90,",2020-06-19,处理反馈
485907,上汽集团,名爵6,2018款 20T 自动 尊享互联网版 国VI,上汽名爵6四轮定位后吃胎 服务态度差,"I293,J300,J303,",2020-06-19,处理反馈
485905,奇瑞汽车,捷途X70,2020款 1.5T 手动 悦行版 5座,捷途X70挂挡异响 减震异响 发动机转速不稳,"A163,A35,B33,B20,G52,",2020-06-19,处理反馈
485904,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏无故开胶,"H168,",2020-06-19,用户评分
485903,华晨宝马,宝马5系,2019款 530Li 领先型 M运动套装,华晨宝马5系新车变速箱漏油多次维修未解决,"B22,J298,",2020-06-19,信息审核
485902,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL离合器无法复位无法挂挡行驶,"C267,",2020-06-19,用户评分
485899,北京奔驰,奔驰C级,2019款 C 180 L 时尚型运动版,北京奔驰C级冷却液提示温度高要求解决,"A191,",2020-06-19,信息审核
485897,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越经销商出售问题车价格不透明,"K308,M284,",2020-06-19,用户评分
485896,上汽通用五菱,宝骏310W,2017款 1.5L 手动 舒适型 国VI,宝骏310W发动机故障灯亮 熄火 大灯进水,"A339,A14,H88,",2020-06-19,处理反馈
485892,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-18,用户评分
485891,一汽-大众奥迪,奥迪A6L,2020款 45 TFSI 臻选致雅型,一汽大众奥迪A6L行驶时发动机抖动熄火,"A24,A14,",2020-06-18,信息审核
485883,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越挡杆处没有指示灯涉嫌虚假宣传,"M279,",2020-06-18,处理反馈
485882,东风日产,逍客,2017款 2.0L CVT 精英版 国V,东风日产逍客车灯变暗行驶时变速箱顿挫,"B19,H82,",2020-06-18,处理反馈
485881,上汽集团,荣威350,2014款 1.5L 自动 迅达版 350S,上汽荣威350购车后车内一直有浓重的异味,"H185,",2020-06-18,处理反馈
485880,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜空调压缩机频繁启停中控异响,"H101,H93,",2020-06-18,处理反馈
485878,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际转向机漏油备胎异常磨损车身异响,"D58,H72,H15,H157,",2020-06-18,处理反馈
485877,长安汽车,长安CS95,2017款 2.0T 两驱 智拓版,长安CS95踩刹车后异响声音大要求索赔,"E43,",2020-06-18,处理反馈
485875,北京奔驰,奔驰GLC,2018款 GLC 260 4MATIC 动感型 改款,北京奔驰GLC轮毂氧化起皮要求更换,"H243,",2020-06-18,信息审核
485872,广汽本田,雅阁,2015款 2.0L LXS 精英版,广汽本田雅阁变速箱异响高速行驶顿挫,"B33,B19,",2020-06-18,处理反馈
485871,北京现代,领动,2016款 1.6L 自动 智炫・精英型,北京现代领动跑高速时缦址较蚩ㄖ,"D123,",2020-06-18,处理反馈
485865,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越行驶过程中变速箱明显顿挫,"B19,",2020-06-18,处理反馈
485863,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408水泵损坏导致发动机异响,"A9,A221,",2020-06-18,用户评分
485862,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,马自达昂克赛拉行使中显示超音传感器故障,"B19,B95,H234,",2020-06-18,处理反馈
485854,北京奔驰,奔驰C级,2020款 改款 C 260 运动版,北京奔驰C级怠速不稳定变速箱换挡迟滞,"A35,B19,",2020-06-18,信息审核
485851,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉仪表盘掉漆座椅掉皮,"H168,H169,",2020-06-18,处理反馈
485843,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客转向异响希望厂家处理,"D59,",2020-06-18,处理反馈
485830,吉利汽车,博瑞,2015款 1.8T 旗舰型,吉利博瑞方向盘卡死 助力系统故障,"A255,D123,D112,",2020-06-18,处理反馈
485828,长安汽车,长安UNI-T,2020款 1.5T 尊贵型,长安UNI-T车机没有反应音量自动增大,"H134,",2020-06-18,用户评分
485825,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL中控台异响多次处理无效,"B19,H93,H89,",2020-06-18,用户评分
485823,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷车启动发动机异响,"A9,",2020-06-18,处理反馈
485821,东风标致,标致5008,2017款 380THP 精英版 7座,东风标致5008方向盘与刹车行驶途中异响,"D59,E43,",2020-06-18,处理反馈
485819,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙天窗异响严重希望解决,"H89,",2020-06-18,信息审核
485817,东风本田,本田CR-V,2018款 1.5T CVT 两驱 舒适版,东风本田CR-V优科豪马轮胎开裂掉皮,"F100,F186,",2020-06-18,处理反馈
485812,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo车内异味严重无法忍受	,"H185,",2020-06-18,信息审核
485811,东风标致,标致508,2015款 1.8THP 自动 致臻版,东风标致508厂家召回进气歧管不合理,"Q323,",2020-06-18,处理反馈
485809,东风雪铁龙,雪铁龙C4L,2015款 1.8L 手动 领先版,东风雪铁龙C4L发动机烧机油希望处理,"A63,",2020-06-18,处理反馈
485805,东风雪铁龙,雪铁龙C4L,2014款 1.8L 手动 智驱版 劲智型,东风雪铁龙C4L汽油泵故障无法启动,"H78,",2020-06-18,用户评分
485804,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳探岳大灯白雾影响照明,"H82,",2020-06-18,处理反馈
485802,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹中控屏卡死行驶时B柱异响,"H134,H15,",2020-06-18,处理反馈
485800,一汽-大众奥迪,奥迪Q5,2012款 2.0TFSI  自动 舒适型,一汽大众奥迪Q5变速箱故障灯亮厂家不保修,"B96,I297,",2020-06-18,信息审核
485798,一汽马自达,马自达CX-4,2020款 2.5L 自动 四驱 蓝天激情版,一汽马自达CX-4高速行驶中突然熄火,"A14,A44,",2020-06-18,信息审核
485794,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜加速时变速箱异响严重,"B33,",2020-06-18,处理反馈
485793,东风本田,INSPIRE,2019款 锐・混动 2.0L 净雅版 国VI,东风本田INSPIRE悬挂部件锈蚀严重,"H79,",2020-06-18,处理反馈
485792,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408空调压缩机漏油不制冷,"H101,",2020-06-18,处理反馈
485790,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放发动机漏油质量差,"A12,",2020-06-18,信息审核
485787,上汽斯柯达,柯迪亚克,2019款 TSI380 四驱 旗舰版 7座 国V,斯柯达柯迪亚克方向盘 刹车 油门全部失灵,"A174,D57,E29,",2020-06-18,信息审核
485785,长安马自达,马自达CX-5,2020款 2.0L 自动 两驱 智尊型,长安马自达CX-5安全带损伤希望厂家处理,"H118,",2020-06-18,用户评分
485784,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾底盘异响希望尽快处理,"G56,",2020-06-18,处理反馈
485782,一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹行驶过程中车内有异响,"H15,H89,",2020-06-18,用户评分
485781,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身异响希望尽快处理,"H15,",2020-06-18,用户评分
485778,一汽-大众奥迪,奥迪A6L,2019款 40 TFSI 豪华动感型,一汽大众奥迪A6L行驶中变速箱内部螺丝断裂,"B77,",2020-06-18,信息审核
485776,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统更新后卡顿 影像不清晰,"H134,H155,O348,",2020-06-18,用户评分
485773,吉利汽车,博越,2018款 1.8TD 自动 两驱 智尊型 4G互联版,吉利博越升级后Carplay消失4S店无升级包,"J300,O348,",2020-06-18,处理反馈
485771,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越中控异响 车机系统无法升级,"H93,L314,",2020-06-18,处理反馈
485770,一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 先锋版 国VI,一汽丰田RAV4荣放经销商不让报废车辆,"K325,",2020-06-18,信息审核
485768,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸韩泰轮胎老化 排气管生锈,"F100,H30,",2020-06-18,信息审核
485767,东风风行,景逸X6,2017款 1.5T 手动 尊贵型 劲享系列,东风风行景逸X6方向偏右 安全气囊故障,"A24,D154,H103,",2020-06-18,处理反馈
485766,上汽通用五菱,五菱荣光小卡,2019款 1.5L 基本型 双排 L3C 国VI,上汽通用五菱荣光小卡漆面生锈掉漆,"H79,H81,",2020-06-18,处理反馈
485765,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智低速踩油门抖动无动力输出,"B95,B334,",2020-06-18,处理反馈
485759,北京现代,领动,2018款 1.6L 自动 15周年特别版,北京现代领动转向异响存在质量问题,"D59,",2020-06-18,处理反馈
485756,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来后排座椅骨架严重生锈,"H79,",2020-06-18,处理反馈
485750,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际备胎异常磨损 转向机漏油 内饰异响,"D58,H93,H68,H157,",2020-06-18,处理反馈
485749,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5喷漆质量差漆面鼓泡,"J303,",2020-06-18,用户评分
